	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc16	515rcbc29	515rcbc9	515rcbc14	515rcbc19	515rcbc28	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
alpha_rarefaction_31177_3.txt	31177	3	116.11279	127.2344	122.71639	125.16155	127.86874	117.90105	116.14681	119.64964	131.42272	130.86551	126.26047	125.6551	128.56638	120.16394	115.69023	128.90894	126.78756	135.05301	127.64154	121.66157	137.80622	127.01213	123.14105	127.21684	113.01853	114.55102	117.12989
alpha_rarefaction_31177_4.txt	31177	4	115.14977	130.85854	121.82255	124.12832	127.11499	117.59121	116.64457	122.13693	132.66771	130.49813	126.37078	126.33272	129.24599	122.65149	115.42942	127.27734	127.15439	135.88907	127.11002	119.40513	137.22505	126.76057	124.77275	127.11788	113.4386	114.50746	117.55307
alpha_rarefaction_31177_5.txt	31177	5	116.46821	128.24185	124.83233	123.94142	126.90544	119.80912	116.16769	121.63955	132.06864	128.65126	125.78645	126.55357	128.02224	122.97283	116.23766	130.16167	128.27891	136.05882	126.96052	119.94051	135.68744	127.72409	122.16653	127.26712	111.46964	114.23613	116.21565
alpha_rarefaction_31177_6.txt	31177	6	116.38766	126.86857	123.87034	123.25519	125.29766	118.2517	118.5774	119.79698	131.53694	131.76843	127.48802	127.41587	129.90487	121.69901	114.1092	126.97559	128.94969	135.74974	127.19933	121.07241	136.17424	126.97709	124.81157	126.6466	113.26907	114.08882	116.20508
alpha_rarefaction_31177_7.txt	31177	7	115.03161	129.96901	123.18782	123.62318	125.68248	118.56538	116.3533	121.43201	130.83346	129.83061	126.64372	126.94996	129.23008	122.6069	115.45756	126.99874	127.67883	137.87897	128.56371	121.26722	134.76488	129.05335	123.97669	126.15295	110.37217	113.32533	114.32369
alpha_rarefaction_31177_8.txt	31177	8	116.25367	128.66988	123.50727	122.88709	125.30088	118.22748	116.42428	122.13698	131.35676	128.28892	127.339	127.37837	128.77879	122.82503	114.71241	126.29222	128.95027	137.29161	125.26489	121.60603	135.18865	127.71475	123.54689	126.86142	113.86087	114.18124	114.56472
alpha_rarefaction_31177_9.txt	31177	9	113.96824	129.71637	122.35356	122.08909	125.60204	117.0597	115.03182	120.53293	132.16925	129.37327	126.32983	126.32561	129.59377	123.19662	113.84539	128.05905	127.19371	136.40136	127.67574	118.98479	135.2265	127.41172	122.55526	127.66012	111.93095	113.92172	117.11437
alpha_rarefaction_41566_0.txt	41566	0	121.92795	137.25822	130.73136	132.68045	135.49221	128.75712	126.3301	130.20517	140.89112	136.70272	137.76007	135.71021	139.60993	129.25444	121.75584	136.55143	135.32163	145.04822	135.89156	128.21302	146.32193	136.59409	132.51114	n/a	119.41415	n/a	124.35323
alpha_rarefaction_41566_1.txt	41566	1	123.39524	136.61187	130.49362	131.89326	136.04715	127.61001	126.17426	129.37427	138.93149	139.03754	134.87814	134.47204	137.91217	129.99128	122.8471	136.54059	138.6738	145.56965	137.42391	127.80138	146.05411	138.37958	131.9857	n/a	121.99749	n/a	124.14424
alpha_rarefaction_41566_2.txt	41566	2	124.74472	139.96027	132.35937	132.95755	137.29134	128.85942	125.11288	130.66881	141.02569	138.70629	136.82967	135.88126	137.02112	130.62731	123.34946	136.42805	136.01231	145.70048	136.73057	127.04255	144.55625	137.47304	131.93942	n/a	121.66227	n/a	127.20808
