	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
alpha_rarefaction_7908_8.txt	7908	8	3494.25	4063.22408027	3690.94097222	3350.25	3614.08955224	4000.84053156	3788.98850575	3678.17973856	3891.0026455	3929.53225806	3627.44868035	3568.92057762	3601.11504425	3484.02236422	3257.14634146	3409.27002967	3738.73333333	3659.68404908	3720.12797619	4287.46368715	4108.13846154	3272.91768293	3296.93870968	3557.29113924	3233.41111111	2749.07636364	3225.45985401
alpha_rarefaction_7908_9.txt	7908	9	3544.40890688	4037.95098039	3540.83934426	3593.56369427	3733.34726688	4048.0	3673.78417266	3571.44761905	4064.75872093	3813.04472843	3666.92944785	3346.49134948	3677.38253012	3799.79069767	3226.2926045	3641.3137931	3756.51006711	3827.37847222	3723.31578947	4019.86538462	3886.38746439	3374.55882353	3675.72101449	3350.77445652	3115.87857143	2958.88	3314.22180451
alpha_rarefaction_11857_0.txt	11857	0	3899.12465374	4689.20238095	4078.23155216	4238.11253197	4244.20155039	4570.37801609	4033.73900293	4473.88203753	4718.74352941	4594.15384615	4490.86602871	3944.54696133	4147.49315068	4077.85233161	3561.24225352	3959.88349515	4303.26054591	4484.59473684	4491.28467153	4517.88453159	4869.8716707	4209.15041783	3873.50824176	3835.4295302	3743.12835821	3209.84699454	3642.13595166
alpha_rarefaction_11857_1.txt	11857	1	3947.87777778	4694.05898123	4208.875	4454.89147287	4260.72	4980.02777778	4204.45086705	4223.04724409	4489.71064815	4262.15801887	4663.75	4000.71311475	4542.94871795	3933.52685422	3593.10025707	3718.62745098	4375.28571429	4264.11111111	4372.69465649	5011.44186047	4814.5863747	3944.88585608	3887.00573066	3968.45971564	3649.66212534	3414.16320475	3784.375
alpha_rarefaction_11857_2.txt	11857	2	4028.8	4812.18320611	4122.61307902	3944.98547215	4486.73595506	4727.47058824	3918.76880223	4198.34196891	4302.8	4464.13192612	4340.34256927	3863.38935574	4292.48235294	4012.47772277	4034.58064516	3962.89655172	4145.14360313	4094.96341463	4435.23170732	4849.79254079	4701.5025641	4168.4464752	3791.76358696	3822.25	3659.66369048	3610.23778502	3747.63081395
alpha_rarefaction_11857_3.txt	11857	3	3828.05294118	4760.70769231	4039.43137255	4294.30051813	4118.16393443	4732.30252101	4301.35714286	4233.97506925	4292.38687783	4690.51030928	4313.38734177	4129.36434109	4163.63092269	4217.57446809	3791.97368421	3801.9097561	4220.73214286	4036.14285714	4428.47103275	4898.55555556	4737.49766355	4260.75	4058.83844011	3893.35520362	3901.71165644	3366.68955224	3499.94642857
alpha_rarefaction_11857_4.txt	11857	4	3723.55586592	4719.47029703	4236.94366197	4386.46969697	4435.90810811	4397.53887399	3872.01075269	4396.84916201	4594.06407323	4224.16037736	4291.26573427	3941.6637931	4278.01481481	4055.58121827	3595.97260274	3942.55702918	4119.3125	4136.05483029	4443.78692494	4742.17219917	4665.19306931	4198.27720207	3934.76470588	4184.30075188	3771.84682081	3245.13953488	3586.35608309
alpha_rarefaction_11857_5.txt	11857	5	4119.21148036	4935.67741935	4105.75277778	4508.31081081	4199.57037037	4825.45070423	4182.2300885	4042.70631068	4304.03191489	4424.14467005	4432.57673267	4174.28888889	4440.06349206	3950.24193548	3699.94736842	4039.2025	4453.43010753	4305.14099217	4247.25231481	5055.0278481	4685.88941176	4147.85416667	3799.13235294	3929.1292517	3667.72192513	3369.25	3556.5252809
alpha_rarefaction_11857_6.txt	11857	6	3940.42941176	5001.91735537	4115.59517426	4329.51435407	4405.42118863	4567.41025641	3834.90425532	4177.47074468	4341.00699301	4657.6631016	4195.22695035	3781.6819407	4185.76388889	4160.2027027	3891.38526912	4317.78830084	4243.58481013	4321.59848485	4144.72169811	4850.65217391	4714.01678657	3832.00241546	3932.01634877	4013.62439024	3852.22123894	3220.44875346	3593.1
alpha_rarefaction_11857_7.txt	11857	7	3937.875	4768.11627907	4015.66666667	4521.76190476	4388.57772021	4603.29041096	3752.54102564	4185.99184783	4163.8960739	4582.14136126	4466.03947368	4144.69565217	4195.375	4126.80487805	3619.90217391	3888.375	4288.43478261	4237.16793893	4199.52	4755.92380952	4570.10158014	4182.11568123	4286.82535211	4098.33253012	3449.8125	3497.83890578	3721.9009009
