	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
alpha_rarefaction_11857_5.txt	11857	5	180.09618	189.89467	176.64233	177.82248	175.0322	186.02321	176.42209	182.32665	188.36002	181.63322	185.30872	166.33566	180.99316	176.39265	173.75821	177.74229	181.66207	184.90329	178.86141	193.71507	191.28791	183.55933	169.44869	174.89885	163.59681	152.5103	164.79628
alpha_rarefaction_11857_6.txt	11857	6	175.69678	186.12428	178.69387	183.28223	174.83008	183.22874	173.49698	179.89845	184.7183	183.71341	187.67122	168.52838	178.29262	176.45015	176.21019	179.05631	182.57554	182.82022	174.02811	193.36033	193.03048	180.80361	164.39842	173.27919	161.35023	151.74612	163.45523
alpha_rarefaction_11857_7.txt	11857	7	176.94534	187.8584	175.63378	178.37883	174.32556	180.22133	175.40642	178.91006	185.3301	186.2754	186.42042	173.93777	177.72928	176.99004	176.23371	179.73493	182.27796	183.44696	176.14444	189.77144	189.18097	184.88035	170.54826	173.6543	159.92499	152.86907	164.90395
alpha_rarefaction_11857_8.txt	11857	8	176.30726	187.31265	177.33756	179.56329	176.10443	183.43946	177.10349	185.31849	189.16991	185.12362	188.05431	165.98495	181.16629	177.68258	173.01719	178.676	182.72555	186.92613	179.52495	194.65149	189.27617	181.78303	168.05547	177.82102	160.93074	149.26225	163.76569
alpha_rarefaction_11857_9.txt	11857	9	179.68598	187.19317	177.95835	177.21856	176.83349	185.69436	174.78034	183.22336	192.44944	182.97741	186.16372	169.07345	178.3012	177.42826	172.45635	174.23106	182.33589	180.3787	179.24785	191.47418	189.54387	183.00267	169.62173	177.34014	158.35713	149.54552	163.91464
alpha_rarefaction_15806_0.txt	15806	0	193.88801	205.93744	199.66306	197.56051	197.772	206.20371	192.81086	200.63548	204.30094	205.12873	201.68977	189.4148	198.07436	197.73538	190.14578	197.23943	202.73084	196.20198	190.86295	212.98555	211.5106	202.69549	183.48024	191.29623	174.62192	164.08261	178.92499
alpha_rarefaction_15806_1.txt	15806	1	195.93632	210.31431	192.28252	194.8983	196.22591	202.10121	189.61195	198.83924	203.47908	200.48227	205.75472	186.32925	197.03108	193.17072	195.08619	192.57943	200.51302	202.43422	195.9867	209.89228	208.54764	198.34626	185.47751	193.45784	178.25901	166.72316	181.17251
alpha_rarefaction_15806_2.txt	15806	2	190.04051	209.87651	195.63612	198.22138	192.27417	204.58604	194.08056	200.3082	204.76443	204.61609	206.74735	182.90719	200.9237	194.45461	193.45956	197.51064	201.84812	199.72254	191.53233	214.61656	204.28849	197.4196	185.70822	194.18089	177.68958	164.75838	178.22013
alpha_rarefaction_15806_3.txt	15806	3	193.61048	204.11265	194.78038	196.79911	192.48753	206.82833	194.55104	195.24027	205.05883	203.66211	201.58143	183.33471	194.57257	195.28911	193.0658	191.93041	200.39545	198.89986	199.9036	215.25231	209.73664	200.66763	180.28387	193.16867	175.95482	167.5499	173.58889
alpha_rarefaction_15806_4.txt	15806	4	195.13728	207.07115	199.46266	198.94753	193.63332	204.10088	190.13795	201.62567	210.30014	203.03021	200.03211	186.81526	195.01873	195.86546	189.16597	193.31085	200.86483	196.10652	195.94318	208.80618	210.45535	198.10645	185.56249	191.74242	175.9544	168.27323	178.53733
alpha_rarefaction_15806_5.txt	15806	5	193.05275	208.86224	188.72882	194.34253	188.59277	208.29828	193.49516	205.60724	202.60768	203.41128	203.08269	183.13318	196.19824	196.18905	193.90266	193.95507	197.80148	196.32305	193.05314	209.30071	207.85	201.08143	182.32926	190.28286	178.2044	166.33678	178.07608
alpha_rarefaction_15806_6.txt	15806	6	194.85297	208.36988	196.25454	200.14229	187.6498	199.86408	193.68663	199.8553	202.85452	201.68871	204.51733	186.37603	196.71539	195.52159	189.59008	194.71043	201.68536	200.27212	190.76269	217.13306	213.34653	199.42967	184.09291	190.39582	179.10787	161.82502	179.39006
alpha_rarefaction_15806_7.txt	15806	7	196.88513	207.67165	195.37142	195.3749	193.97144	203.2949	188.28354	198.40489	206.5755	198.80528	204.5632	187.16682	197.13566	196.3816	191.31989	195.3321	200.9254	199.57742	193.3004	209.34192	207.37516	196.3763	188.15509	190.54452	179.11412	163.65322	179.51836
